LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv
1000014003,ABC HOBBYCRAFT,EVANSVILLE,IN,47711,FIFTH THIRD BANK,OH,451120,2/28/1997,1997,84,4,2,0,0,1,0,N,Y,,2/28/1999,60000,P I F,0,60000,48000
1000024006,LANDMARK BAR & GRILLE (THE),NEW PARIS,IN,46526,1ST SOURCE BANK,IN,722410,2/28/1997,1997,60,2,2,0,0,1,0,N,Y,,5/31/1997,40000,P I F,0,40000,32000
1000034009,"WHITLOCK DDS, TODD M.",BLOOMINGTON,IN,47401,GRANT COUNTY STATE BANK,IN,621210,2/28/1997,1997,180,7,1,0,0,1,0,N,N,,12/31/1997,287000,P I F,0,287000,215250
1000044001,"BIG BUCKS PAWN & JEWELRY, LLC",BROKEN ARROW,OK,74012,1ST NATL BK & TR CO OF BROKEN,OK,0,2/28/1997,1997,60,2,1,0,0,1,0,N,Y,,6/30/1997,35000,P I F,0,35000,28000
1000054004,"ANASTASIA CONFECTIONS, INC.",ORLANDO,FL,32801,FLORIDA BUS. DEVEL CORP,FL,0,2/28/1997,1997,240,14,1,7,7,1,0,N,N,,5/14/1997,229000,P I F,0,229000,229000
1000084002,"B&T SCREW MACHINE COMPANY, INC",PLAINVILLE,CT,6062,"TD BANK, NATIONAL ASSOCIATION",DE,332721,2/28/1997,1997,120,19,1,0,0,1,0,N,N,,6/30/1997,517000,P I F,0,517000,387750
1000093009,MIDDLE ATLANTIC SPORTS CO INC,UNION,NJ,7083,WELLS FARGO BANK NATL ASSOC,SD,0,6/2/1980,1980,45,45,2,0,0,0,0,N,N,24-Jun-91,7/22/1980,600000,CHGOFF,208959,600000,499998
1000094005,WEAVER PRODUCTS,SUMMERFIELD,FL,34491,REGIONS BANK,AL,811118,2/28/1997,1997,84,1,2,0,0,1,0,N,Y,,6/30/1998,45000,P I F,0,45000,36000
1000104006,TURTLE BEACH INN,PORT SAINT JOE,FL,32456,CENTENNIAL BANK,FL,721310,2/28/1997,1997,297,2,2,0,0,1,0,N,N,,7/31/1997,305000,P I F,0,305000,228750
1000124001,INTEXT BUILDING SYS LLC,GLASTONBURY,CT,6073,WEBSTER BANK NATL ASSOC,CT,0,2/28/1997,1997,84,3,2,0,0,1,0,N,Y,,4/30/1997,70000,P I F,0,70000,56000
1000134004,COMMERCIAL TRUCKING MAINTENANC,CHARLOTTE,NC,28256,SUNTRUST BANK,GA,811111,2/28/1997,1997,84,1,2,0,0,1,0,N,Y,,2/23/1998,70000,P I F,0,70000,56000
1000144007,PROFESSIONAL ELEVATOR SERVICES,CHICAGO,IL,60605,BANK OF AMERICA NATL ASSOC,OR,235950,2/28/1997,1997,60,24,1,0,0,1,0,N,N,,11/30/1997,150000,P I F,0,300000,225000
1000146010,CARVEL,APEX,NC,27502,STEARNS BK NATL ASSOC,MN,445299,2/7/2006,2006,162,2,2,0,0,15100,1,N,N,,3/31/2006,253400,P I F,0,253400,190050
1000154010,"ORCHARD CAFE & BAKERY, INC.",SLATERSVILLE,RI,2876,CITIZENS BANK NATL ASSOC,RI,0,2/28/1997,1997,120,2,2,0,0,1,0,N,N,,5/31/1997,370000,P I F,0,370000,277500
1000214004,EBC INVESTMENTS LLC,WINSTON-SALEM,NC,27106,NORTHWEST PIEDMONT DEVEL CORPO,NC,0,2/28/1997,1997,240,1,1,30,0,1,0,N,N,,12/17/1997,225000,P I F,0,225000,225000
1000244002,"ENVIRONMENTAL ROOFING SYSTEMS,",OKLAHOMA CITY,OK,73112,BANK OF AMERICA NATL ASSOC,NC,421330,2/28/1997,1997,12,5,2,0,0,1,0,N,N,,9/30/1997,350000,P I F,0,350000,262500
1000254005,ARK MAMAGEMENT ENTERPRISES INC,MIDLAND,TX,79701,WELLS FARGO BANK NATL ASSOC,TX,0,2/28/1997,1997,60,5,1,0,0,1,0,N,Y,,6/30/1997,70000,P I F,0,70000,56000
1000264008,"FAIRFAX COURT SUBWAY, INC.",CENTREVILLE,VA,20120,BANK OF AMERICA NATL ASSOC,MD,0,2/28/1997,1997,60,16,1,0,0,1,0,N,Y,,7/31/1997,100000,P I F,0,100000,80000
